dataset,exercise_set,question,answer,grade,min_grade,max_grade,subject,exercise_type,isced_level,language,rubric,desired_answer,metadata
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير أخلاقي يتم عن طريق وسائل الكترونية يهدف الى عائدات مادية  و يسبب اضرارا للضحية,3,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي كل سلوك غير أخلاقي يتم بواسطة الاجهزة الالكترونية ينتج عنها حصول المجرم على فوائد مادية او معنوية مع تحصيل الضحية خسارة مقابلة،  هدفها القرصنة من اجل سرقة او اتلاف المعلومات,5,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير قانوني يحمل باستعمال الأجهزة الالكترونية لإحداث ضرر مادي او معنوي للضحية ,3,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير قانوني تستخدم الوسائل الالكترونية ينتج عنها حصول المجرم على أهداف مادية أو معنوية   غالبا يكون هدف هذه الجرائم هي القرصنة أي سرقة و إتلاف المعلومات ,4,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي كل سلوك غير أخلاقي يتم باستخدام الوسائل الالكترونية (الهاتف، الكمبيوتر..) ، يتمثل في حصول مرتكب الجريمة على ما يريد لتحقيق أهدافه الشخصية بينما يتحمل الضحية و هو المستخدم العقوبة ، تتمثل في سرقة المعلومات مثلا,4,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير قانوني عبر أجهزة إلكترونية، لأهداف مادية أو معنوية غالبا لإتلاف أو سرقة المعلومات و هي مثلا: النصب و الاحتيال، التعدي الإلكتروني، التجسس وانتهاك الخصوصية ,4,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية، يتم تحميل المجرم منه على فوائد مادية و معنوية، يتحمل الضحية خسارة مقابل ذلك الهدف من الجريمة إتلاف أو سرقة المعلومات.,4,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,تتم بواسطة الأجهزة الإلكترونية ينتج عنها حصول المجرم على فوائد مادية و معنوية مع تحميل الضحية خسارة مقابلة. و غالبا ما يكون هدف المجرم القرصنة من أجل سرقة و إتلاف المعلومات .,5,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي كل سلوك غير قانوني يتم بإستخدام الأجهزة الإلكترونية ينتج عنها حصول المجرم على فوائد مادية و معنوية مع تحميل الضحية خسائر و الهدف منها هو القرصنة من أجل سرقة و إتلاف المعلومات,5,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
arasag,10,عرف مصطلح الجريمة الإلكترونية ,هي سلوك غير قانوني بواسطة استعمال الأجهزة الإلكترونية (الهاتف، الانترنت، الكمبيوتر) الهدف منها الحصول على فائدة مادية أو معنوية مقابل دفع الضحية خسائر و تكون من أجل الحصول على المعلومات و قرصنتها و إتلافها. تلف الجرائم الإلكترونية خسائر تعد بالملايين لأصحاب الشركات و المنشأة كما أن أغلب جرائم السطو على البنوك تكون بتواطؤ المجرمين و المبرمجين .,5,0.0,5.0,cybercrimes,short_answer,7,arabic,,هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,"{""question_type"": ""عرف المصطلح العلمي""}"
