dataset,exercise_set,question,answer,grade,min_grade,max_grade,subject,exercise_type,isced_level,language,rubric,desired_answer,metadata
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,A animal tem núcleo e a vegetal não.,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,a célula vegetal tem parede celular a animal não,3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,uma tem núcleo e a outra não,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,animal tem nucleo e a animal n tem nucleo,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"Uma é de seres vivos a outra é de plantas,vegetais.
\
uma tem parede celular a outra não.",1.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"Que as células animais tem várias funções a mais do que as vegetais pois os animais falam andam tem um sistema digestivo complexo tem vários órgãos e os das plantas tem somente a fotossíntese,a criação de nutrientes,a absorção de água e etc.Por isso as células são diferentes pois as plantas são bem diferentes dos animais.",0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,A célula vegetal possui mais células que a animal e a animal é dos animais e vegetal das plantas e vegetais.,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,célula animal é a célula dos seres vivos e a vegetal são as células das plantas,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,Por suas funções e forma elas se diferenciam.,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,uma não possui paredes e a outra possui,1.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,a célula vegetal possui clorofila e a animal não.,2.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,uma tem nucleo outra nao,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"uma contem nucleo e outra nao, uma é de animal e outra de plantas",1.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"A célula animal tem uma mitocondria a mais que a vegetal e ela possui também a clorofila ,a vegetal realiza a fotossintese e animal não",1.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,A célula vegetal tem a clorofila e a animal não tem.,2.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,A célula animal é composta por apenas uma célula e a vegetal por varias.,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"A célula animal tem uma mitocôndria a mais que a célula vegetal, a vegetal realiza a fotossíntese, tem o corpo diferente.",1.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,Animal não tem núcleo e a vegetal tem,0.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,A celular vegetal possui parede celular e cloroplasto,3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"Na vegetal há a presença de clorofila, parede celular.",3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"Vegetal- cloroplasto/parede da célula
\
Animal- diferentes formatos",3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"A célula vegetal, possuí cloroblasto e todas as células são iguais, já a animal não possuí cloroblasto e possuí tipos de  células diferentes",2.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,Não tem parede celular,2.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"A parede celular, na vegetal tem o cloroplasto",3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,Sua parede celular e o cloroplasto,3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,"A vegetal tem cloroplasto, vaculo , parede celular,  a animal não tem",3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
ptasag2018,36,Qual a diferença entre a célula animal e a célula vegetal?,Uma tem parede celular e a outra não,3.0,0.0,3.0,biology,short_answer,3,portuguese,,,
