id	prompt	essay	language
1	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"Other reason for my opinión is that almost all the people preffer use the visual sense and ear to other person more than write and listen for understand new things. Whether you are doing work or things for pleasure. I strongly believe this because being on the computer too long will mean that you are spending less time excersising, interacting with real family and friends rather than on the internet, and being on computer too long can ruin your vision. Nowadays in the cities developed there are many possibilities for public transport, like bus, train, subway, tram etc.these options it's more economical than the car, the problem of the car is that normally the car is occupied for a person, when the car is prepared for to carry four or five people. Online Lerning Positiv things about the online lernign are dat you are more mobile with your smartphone and you dont have to carry so much paper with you, also your on your own and in your own lerning speed what makes it more spesific on the user it selfs. Sizdehbedar: It means Thirteenth day of spring , on this day people going picnic and spent the day out of  their homes on the nature because they believe that Thirteen number that brings bad luck for them . the most family member I love and think she is the best friend of mine , my sister , she is elder me about 12 years , I can tell her any thing about my life , my self , my feelings ,hhh also i think if i felt in love she would be the first to know that . Since they are so addicted to computers, the do not want to go to the gym or anything. I have played this sport for twelve years ago this sport has taught me to respect the other not assault to him.there is the only reason that makes me choose this sport is I don't want to be weak I wouldn't like to be nothing in this country that has a rule Strong dominated the weak.when I put my feet in the gym i forget everything shcool,home...therefore I enjoy it.I can't imagine my life without taekwondo it is my blood,my soul.taekwondo it is not a violent sport as many people say but what you have to know is what in the brain and the heart of players.I just get the 1st degree international black belt and I would like to tell to anyone he just starting this sport use your abilities and skills for the right things. so, i`m rely thinking left this sport.Everyday i get up early and exercise in the garden with my friends.i`m exercising more and more again to improve myself and become the best fighter in the world.i`m champion in my sport so, i`m seek to do all my effort to be the first one in the world.finally I did not find encourage of my family or my teachers. I would like to say for anyone wants playing soccer to be very careful when he plays it because it may cause a lot of injures ,but in the same time it is very nice game. Computers are wonderful things, but when it starts affecting your health and physical fitness, they are enemies. Interacting with others on the computer can be looked at as a positive but it is not since it affects the way you interact in real life. However, compared to the line of indoor swimming pool,the difference of seasonal achievement of ice cream van is considerably large.Overall,the achievement of ice cream van is better than the indoor swimming pool,from about 1100 to 5500. Furthermore, some kids can be the most pleasant people to interact with through the computer but then when you used them in real life, they are the quietest people in the world. The people of my town try to plant plants in the centre or somewhere is too smoke, so they try to keep the air at recommended levels.on the morning a lot of people go on footto the work or to the school or ride a bike or they take the bus.The people try to move the local factories out of country where is less air polluted ,less smoke,less cars and more forests and plants. Also, they have lost their abilities to interact in real life. Interacting through the computer is great if you have family and friends in other countries but you shouldn't do it so much that you become uncomfortable to interact in real life. This perspective of life is inspired by contracultural movements and some people call to these people as “alternative”, but it is each day more common and it let a inclusive and diverse society. There is not so much traffic, and my senses and lounges perceive and respire all the smell that flowers,  land, the First, I walk slowly and then I begin to walk as soon as possible to improve my fitness and I end walking 5 turns in the park. My advice of finding work, is a bit complicate because nowadays there are a lot of people without work.But you can been lucky because the summer is very near and the work increase. For example, if you we addicted to computers, then there is a large chance you will get glasses someday in your life. Hi,I am Amy.I would like to spend two months studying in English,two months doing volunteering in children charity and the least two months travelling in UK.What do you think of my plan?I will not only improve my English skills but also devote myself to get along with children.The most important of all,I will take an adventure to the unknown place in UK.I am looking forward to seeing you soon.I would like to invite you to join the road trip with me.it must be an amazing experience if we are together for this trip.As long as you can go with me just let me know. Another example is that overtime the strain build up and up to the where even with glasses you can hardly see. Imagine a world where your vision is so bad that it is like your eyes are almost closed, that's what happens to people who use their computers too long. In old times luxuries were not considered as compare to Heslth but now every one prefer to save time and maintain privacy which one can only afford by using her/his private transport so gradually public transport losing its charm."	1
2	It is important for college students to have a part-time job.	"I had a terrible experience in this Chinese New Year!Because Norovirus infected me!At first,I had a high fever but I thought if I take some medicine I will be fine.Therefore,my condition took a sharp turn for the worse.I cannot eat anything even in New Year's Eve and I was so tired that I cannot play poker with my cousins.Though everythings were depressing,I still have a wonderful winner vacation with my family:we went to  Formosan Aboriginal Culture Village(九族)to visited its blooming cherry blossom. Another ones which were bad sheets and bad bank notes from damaged apparently,would be destroyed securely.This was the whole working process of the bank notes and it was consist of 7 steps. You can see some store fridge around the market for Drinks and Dairy like milk, yogurt, cheese, butter and cream Also chest freezers for Ice creams .In a corner, they sell cosmetics and a salesperson helps customers to find their required . That is why I agree that it is important for college students to have part-time jobs. Part-time jobs, especially of this time, help college students to become independent. The mas was armed try to steal the backpack.But he not be fixed that the man was a camera in his head and hi action was filmed. ). Coat of arms of the city of Rybinsk is a scarlet heraldic shield,over which - green with golden beach pier for which the output is black rebelling bear holding in the left leg on the left shoulder golden ax, undertwo silver starlet What part-time jobs do for them is give them a source of income to suffice these needs at the same time have time for studying. Then the engineers call to other sector to ensure the doubt of Atlantis then the professional say that other was correct. So,my favourite sport in the present time it is street workout.I have been exercising this sport already long time.I like to exercise on the street even in the season when the temperature outside below zero.Of course, in summer I like to exercise more than in winter but this don't stop me.I don't know myself why,but I almost every day go on the street in order to exercise.If  It is very coldly and windily outside,I don't worry about it and I'm exsercising at home.For those people, who want to start to exercise the street workout I'm advising to start with basic exerscises such as pull ups,push ups,dips and squats.That everything basic exercises and they will help you will do a good start up.After some time when you will be feeling that you are ready for more, you can start to study more difficult exercises. I think it would be important that, not only in the family, but also in the school could be grow a new generaion sensible to ecological problems of the earth. If you ask someone about the future, answers will be different but all will be around two main topics, Those last are either optimist future or pessimist one. Alison felt desesparate, she notice that her husband´s car were in her house, so he was walking or someone pick up to him, she takes the phone and she call all him group of friends, nobody now anything and now they were scaried. More than that, this helps create the notion that you are an experienced employee in your resume. In conclusion, this helps college students in getting better opportunities in college. Frist of all at home we recycle plastics, glasses, papers and cartons, oils, clothes, batteries, organics in an especial composting bank where we avoid burning or burying in excess those scraps with other materials and finally all the other things are sends to an especial tip where we avoid to drop it anywhere. That is why part-time jobs, in all respects, is important in giving students the best quality education out there."	1
3	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"One evening, @CAPS1 I got home from school, I didn't know what I had for homework. I decided to call my friends cell phone, but instead I got her voicemail. I left her a voicemail and called her house phone instead, the same thing bad happened. Even though do not everyone doing that,so how much public office is care of environment is important and this town is care of that a lot.Every morning some peasons are coming park and cleaned that makes feel really thanksgratitude. The next day, I asked her why she didn't pick her cell and house phone. She turned her haid and saw him ""he was fowling me"" she thought""well,I should ask him what are he doing here"" ""What are you doing here"" ask Alison he looks her but with a bad smile,and turn his head @CAPS1 I think of people being on the computer too much, I think they don't get enought exercise, don't enjoy nature, and spend less time with family and friends. First @CAPS1 people spend too much time on the computer, they spend less time excersising. Every month Huang Ji Huang always make a special offer from their cutomer , and for this month Huang Ji Huang will give 20% discount for customer who spend 500 IDR above, for a complete  informatioj you can check it on the website or call the restaurant. @CAPS2 people do this too often, then they will not get enough excercise and without excersise then they won't be healthy @CAPS1 they get older. I like a car as well,but when I have to driving a car I have to think about parking a lot and I can't enjoy meeting other people to talk while I am having travel,so the public transport is making connection with human beings.It is why I think public transport is really important for public and there are a lot of important thing is having a possble in the future. @CAPS2 adults get into this bad habit, so will their kids and it's to early for kids to be unhealthy."" Also 'internet' in our days helps to get information all over the world, and if you wish to get involved then go to the www.bbc.co.uk.These sites are free way to find most adequate information about actual events both in society and technical life. My advice to travel for Spain is that there are several types of transport but the most economic is the public, most expensive transport can be the taxi, for example.But, you can travel by plane,it is not very expensive. As well, we have to promote that the people get jobs close their accommodation or get the accommodation close to the jobs, because we have too much pollution and we could reward the companies that hire staff close to the place of job, maybe in a circle of 4 kilometres, as well we could reward the people that turn their accommodation for live near to the job or for going  there by a bicycle. he jump from his bed to the street and walk to his way to see what he did every morning.when he walk after the stranger man  he notice that he stopped in every trash in the street to take a look and go to the next one, and guess what he saw Michael and run away also Michael was afraid. I would like to say for anyone wants playing soccer to be very careful when he plays it because it may cause a lot of injures ,but in the same time it is very nice game. one day he got fight with her sister, even he made her cry.both of them stop talking to each other and after some day the boy need laptop of her sister sukh. This is due to Lima in the beginning  has not had a pant to desing its public road s and highways, and it only has been improvising to build their way without any criteria to transport its population. The sport is very importatnt of our body it has many benefits to emprove our selves and give us self confedant so we should practice any sport we love because it can change our mind to the better. in my personal obinionits better to lern froma teacher not only dat you lern to pronounce the words correctly you also lern from a personwhat is in my opinion way better i thin k we spend enougth time on smart phones so i dont think its the best if we use them to lern as well. although traveling by car is really interesting but still using public transport has its advantages ,by using public transport you're saving  effort when  driving a car for along distance you will get tired , some people don't have enough money to buy their own car . Secondly, the Hall doesn't matter with the environment; for example, the Hall stopped with garbage's selection collection when the new major assumeded the hall. You picked the computer over your friends to go to the mall. There's probably a @PERCENT1 chance she won't ever talk to ou again. Another example of why lives are gonna changed completely in 50 years is because also that connection between others cultures make People concern more about her own health, the expectations of life and the way they want to live it, because everyday will be easier to see how much are we hearting the earth so we will see faster the impacts that this brings to our life. In the public transport you don't have your own sit so sometimes you travel standing which is not very comfortable and in winter you don't have air conditioning so if it's cold in the outside it's cold inside the transport to, sometimes you have to travel with sick people that can transmit you the illness. But i know that a lot of joung people play tennis, i hope that the italian tennis player in a few years  will be very famous all over the world , then you don't wait you sign up in a tennis club and you will become a famous tennis player! @CAPS1 people do this, its really dissappointing because you dont hang out as much as with your friends and family. my father  my father name is Zaheer arat.he is very loving and caring.they gives us all the facilities one should have and dream of these things.he provides all the facilities to us of internet and books so that we can learn better and can be good students and get good marks in the examination.he always encouraged us and said don't afraid of anything because you are braver than anything else.my brothers and me proud of my father.he is very hard working and brave.he has the smiley face.he always tries to laugh other people with their jokes.he always listens to us what we want.he never ever ignore us. television serves the multipurpose of entertaining and educating people.in order to cope up the competiting world and get recognized in the corperative world one must strive hard,which in turn increases their stress levels.Television has become one of the means to reduce the stress levels.besides providing entertainment television has also become a source of information."	1
4	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"Consider both aspects that can be concluded that government should respect the human right and set up a new department which use for people who want to apply to complete the military service. They have a positive effect on people because computers make almost everything easier, they can teach people things with tutorial or educational websites and @CAPS2 @CAPS3, and they keep people entertained in their spare time. Computers are becoming more and more advanced everyday and that's why I think people are so addicted to them, yet they do have positive affects. This process involves five main stages.First,it should take some considerations in design,including background colour,artwork,security issues.Next,skilled machinists is prepared ,in which there are metal plates.Then the printer will print some sheets into bank notes(50 bank notes per sheet).Subsequently, the technical must be used specially for distinction,for example the colour printed on both sides,Special ink is used and imges slightly raised.After this,printed sheets will be inspected carefully.According to the quality of sheets,it will be two results.if the quality is good or the bank notes is partially damaged which can be used,it would cut into separate bank notes , then it is packed and disoatched.while those bad sheets will be securely destroyed. They die when John was too little to remember and he never know what happened so he went to all the parts for saw them even he walked and walked even at reverse but he never found them. We would have to hand write those books and hand sew our clothes. Transportation is very important in cities,villages as well as in sub-lines.Many people has no vehicles,they only depends on public transport due to some reasons.Any way in some cases,car is very useful to reach the destination very fast. So they make a plan to display all... The next day when they were about to start filming they ere non ants there so they search for them, but they can't find them... In that moment the ants and Penny attack them in their backs, making them to leave the place. The service is very bad the drivers are very angry and stressed out these do not lead with cauition, in Toluca exist report of high rates of accidents by buses. Computers have positive affects in this way. Everyday after I finish my homework and I go on the computer most adults think that all that us teenagers do on the computers are facebook and myspace. I do admit that I go on those websites, but if I notice that my grades are not in the best condition, I go on websites that can help me understand what I'm not getting. I like to play football cause for me, as well as one hobby, is one way to stand out of the world, of the problem that every day I have to face, and at the end it makes me calm and happy. I have also taught little cousins of mine how to add and subtract using the computer in pre-school. last year I saw a movie called ''side by side'' , and talked a little of life in old history  , and coincidence I was having this matter in school, then it helped me a lot. Besides education, computers can also keep us entertained with games such as virtual solitaire. However, public transportation is much cheaper than to buy a new car and for the adventurer who want to have an exciting travel for then to see more action.Like watching outside or sight seeing,to mingle and meet different people.In addition to this I also admire the bullet train in japan which u consider fast and safe public vehicle Ive'd known. Maybe I might want to know when @LOCATION1 was invented or, if the universe ever stops. I think it would be important that, not only in the family, but also in the school could be grow a new generaion sensible to ecological problems of the earth. so it become a fashion of using personal vehicle which create a lot of problem big one traffic problem..... now traffic problem is the biggest problem. When I use a computer, I am not addicted. as a result of this consumer gets more benefit like lower faire, privacy, freedom and safe travelling.in addition many automobile company launcing new car with affordable price which insiost people to use more and more private vechile. Nowadays the public transporte isn't hardly necessary for our life.However,a lot cities have a problem about traffic,cause of this trouble that citizen don't use public transporte such as autobus, taxi, or even metro.Consequently,gorvernment start to support and take care of the public transporte. The next day I might learn something in school that I want to search deeper into. That is what the computer is for. you must think a little bit before you talk as  one word causes a lot of pain for others for the rest they lives .you may not  actually notice that but you  will feel what am really mean if  someone tells you a painful words . Their effect is the most positive effect on people, ever in my opinion."	1
5	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"One girl sits by her computer doing homework. Another girl with her computer, talks to her friends. We were all excited, those from Lala Band minunate.Their voices have positive vibration through their musical and give you a good feeling.On the scene moves very well and know how to take pleasure to the public.I am feeling wonderful and my promise is that when going to have a special occasion to go to a concert supported by Lala Band, you will be with me.As like this in all my heart.I hope as those recounted by me in this mail and you feel a slight vibration from the concert. FILM: LUCY (2014) TThe plot of this film is about a 25 naive woman that was living and studying in Taiwan and one night went out for clubbing and met a nutter guy that involved her in a seedy drug smuggling issue with a Corean criminal band that forced her to be a mule drug. At the end, the kind of live that we will see in fifty years from now will have a lot of stuff to help the people to have a more comfortable, easier and faster way of live, but this will be only to meke more money and consume more and more, also the things will be faster of waste to make the people to change their apparel more often and create a consumerism. In modern life,we rely on traffic to work or travel to everywhere.It is conveninet to travel by private cars .The price of private cars which every one can afford it,so that everyone has the private car nowadays .Some people point out private cars are going to replace the public transport . I have learned to  get control of myself when someone teaes me , and to be alert as well .Also ,it helps to look always slim and put me away from the ghost of obesity as well .People who want to start playing karate have to be patient . By playing games , we can use what we learn in real life. A boy can play football on line, then take what he learned and use that in a real football game. Hand-eye cordination on the computer can help us to learn new things about our society. We could use what we learned to discover new things and help us to make the community, as a whole, . As long as i try to keep doing thing on a ecofriendly way i realize that i am give a little from my side and i feel careful of my environment. Multitasking is a difficult task to and with hand-eye cordination and computers it becomes easier. most of girl doesnt like this,i think that it takes us energy,we need to do exercise,reasonable diet...and so on. Some people dont know going on in The computer can direct us to news The computer is literally like one huge look of use . Another positive effect that computers have on people is communication. Many people have a twitter, facebook , myspce, etc. and all those websites can help . First,the bank notes are designed by consider,thinking from background colour,artwork,security issues.Then,the metal plates are preparated by skilled machinists.And then, the sheets are printed,operator should pay attention to the colour on both sides,special ink,and images slightly raised. Email is something that there are so many new ides. Finally, Taiwan still suffers economic slump, but we have so many businesses likes to innovate, market their product, customers likes to buy it. most of girl doesnt like this,i think that it takes us energy,we need to do exercise,reasonable diet...and so on. Three words that describe me really good is: happy funny and sometimes bothersome A thing that i would like that people knew is that its not a good idea that wake me when im sleeping. They can help with hand eye cordination, help you learn about far away places, and they help people communicate. Football is the most popular sport followed in Italy and in Europe, in fact there is some important tournament where participate all important Europe team,They are called ""Champions League"" and ""Europa League"".football is a team sport in fact in this sport participate everyboby without exclude nobody."	1
6	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"@CAPS1 judgment comes from expirience, and expirience comes from bad judgement, qouted from my uncle's dad. Often the evolution is return of origins however I hope that the man in the next years will be to don't forget the past. Therefore, the public also lacks @CAPS1 judgement in using computers and the detrimental effects are starting to show. the public transport  have no future , the crisis in 2008 ; has been down the oil prices .The oil is cheap now and new cars are more efficient and the goverment give stimolous for consumers. To begin with, computers can be a @CAPS2 issue for people. Michael decided to open the door and back for her, he thought better the things he do not want to leave her again, he like her, he knows himself and he wants to know her, he have kept all his feelings for a long time. Because of bad @CAPS2 effects the screen has on your eyes. Furthermore, computer games are made to be addicting, which causes @CAPS3 to sit in front of the computer instead of excercising. This @MONTH1 be one of the biggest causes of obesity in @LOCATION2! Everybody thinking like the public transport is not comfort for us, but environmentally the public transport is suitable to decrease the pollution and our energy sources also decrease. Three words that describe me really good is: happy funny and sometimes bothersome A thing that i would like that people knew is that its not a good idea that wake me when im sleeping. In our earth, Hunderds of millions prople living in here.Except us, There are also a large number of wildlife. In those days almost 80% of people have assured feel preocupation about their bodies and their alimentation, for this they convidenced me that they will try improve their habitual alimentation everyday and their will do sport more frequently. First, computers need electricity to run. When freddy begin to sings the kids screams and they sing with Freddy the famous Freddy Fazbear´s Song,Bonny plays the battery and Chica serves the pizza to the children, This year the stablishment close because they found the body of a dead child. Over @PERCENT1 of @LOCATION2's powerplants are coal, petroleum, or natural gas based. When people turn on the computer because they are bored, it wastes electricity that doesn't need to be used. I used all of the things except two.I didn't have the Internet when I was child.And also we couldn't choose  programmes.I played in the street and walked to school alone.I'm thinking what kind if things were more dangerous for me?It was so dangerous when my friends and I swam in the Tobol river.We jumped into the water and caught crayfish.When I remember that moment I am exciting.I guess everychild want to investigate the world.We have to help them,to show and explain.What kind of risks they can get if to do that. Mohammed is a kindly prophet born in small city called mekka and travelled to another city closed to mekka called almadina cause the people of mekka were very aggressive and they not accepted the new Invitation for the new religio Mohammed came back to his town mekka after that and forgave the people of mekka whose abused him In other words there is a definite connection between computers and global warming. What I like most in this game is that The fewest number of player can play it even two player ,i recommend everyone to exert it especially with their friends or families, It may be cause increasing wight or reducing the number of necessary vitamines which our body needs.In my view the reason of having more energy during the day lies in the diet program which is followed by each of us.In conclution if we have decision to living long following suitable diet is crucial and unavoidable. Frist of all at home we recycle plastics, glasses, papers and cartons, oils, clothes, batteries, organics in an especial composting bank where we avoid burning or burying in excess those scraps with other materials and finally all the other things are sends to an especial tip where we avoid to drop it anywhere. There is a definite connection between the two as most people just put something in the microwave to eat to be able to go back to the computers as fast as possible. In my opinion, Family is the place that had you best friend can help each other and know each.In the Taiwan,many of people have to take care of them parent when they get old,but the point is what if you can not survival,I mean you don't have enough money to raise you parent.Back to the topic,I don't know well any of member of in my family,I don't trust them,honestly. public transportation has been more used by people and over the years it is kind of becoming cheaper and also more safe but some  people prefer cars to extent do we agree with and what is our reasons for that that is what are we going to demonstrate in this essay  before about 40 years there was nothing called public transportation and people rarely owned cars so in those years there was not even good facility to move from place to other and that is because there was no companies to build cars in about 10 years cars trading became viable and also became very supported by having her own fans at the beginning the faced a lot of problems but they were able to solve it by the end nowadays all facilities of travelling are more convenient from cars to buses even trains and planes .some people prefer cars because the do like crowded places or because the find it sometimes cheaper but from another point of view public transportation is very cheap and even faster but when it comes to traveling a lot of people prefer riding their own cars to feel the real experience and to enjoy more by chilling out from crowded places  to summaries it is different from some oneis opinion to another i predict that public transportation will be improved and people will use it more and more that by the end cars will disappear and will will no longer be used The only way to cook would be with fire. many countries are truly started to concern no environment and worried about the globe warming ,In schools teachers are doing their best  to educate children how to take care of their schools and keep them tidy,also they train them how to plant trees in public gardens of their towns ,Although  government strict so many laws and taxes in the people how do not pay their taxes to the council for cleaning of the rubbish from towns and villages,in the biggest polluted city in the world people started to use bicycles and cycling instead of driving their cars to reduce the pollution of their city,also they invented different ways to plant even every little area which can be planted to keep their city clean and attractive. Furthermore, how would @CAPS3 be able to even start a fire without @CAPS4 how to light a match? Evidently excessive computer use could have very detrimental effects in a natural disaster, even to adults, so we need to stop it! Secondly, if you use the car, you haven't wait much time ti catch the bus or the train, and maybe you can arrive later at your job, for this situation. But we don't have forgotten the cotamination by cars, We can use more the bicycle or public transportetion. How will we handle a major natural disaster? In conclusion, people are spending too much time on their computers, and they need to stop! People are becoming @CAPS6, @CAPS7 the environment, and losing important life skills. In all over the world people always need advices to keep looking after their environments .First ,the municipal should do workshops in schools and universities providing students by tips that should help us to make our environment clean .Second ,they should make awareness campaigns about environment ;for example , telling people to put their rubbish in waste papre basket which helping workers to recycling it easily .Finally ,to stay healthy we need a healthy environment ."	1
7	It is important for college students to have a part-time job.	"With a great effort sate down on the grass, he feels tired, and has a little sensation of pain in his boson, site there with many sounds on air, he star recall...his face is changing is dark, he has now a clear image of all, when opened the door of the house his girlfriend is there dying on the floor, Michael remember all, the fight, the lays, the screams, the knife...the blood; but Michael closed the door and knew at that moment he had made a mistake. Espesialy there are a lot of greens these makes good health.However someone have to take care of them.The town have to do that and I think in England there are so many greens all around,so a lot of people take care of these that makes good environment.After I have been to live in England with my family I have goton the feel very much indeed. I have 2 reasons. Firstly, thanks to part-time job, students can earn money by themselves. In my opinion, Family is the place that had you best friend can help each other and know each.In the Taiwan,many of people have to take care of them parent when they get old,but the point is what if you can not survival,I mean you don't have enough money to raise you parent.Back to the topic,I don't know well any of member of in my family,I don't trust them,honestly. And if students are living alone, much money is needed. So by doing a part-time job, they can help their family. no of all people could afford to make conveyenc by car .car is easy and cozy also but public transprt is fair is much affordable to all clasess of poeple public transport means mainly pubic bus.people used to travell long disistance by publis bus .it is possible to carry large number of people of different places to carry in bus. For example they can travel or study abroad. Maintaing cars are expensive.Public transport you do not need to worry about any petrol filling, checking tyre pressures, getting tired after driving long journey.In future cutting down public transport affects many of the people.Elderly people wont able to drive always depends on public transport.If public transport stop services people who are not able to drive will  affect a lot. Secondly, do more cooperation between countries.To illustrate, people should cooperation To intervene to bring peace to the world to stop the war in many areas like what United Nations doing.For example, United Nations has taken the decision to ban mandatory weapons against South Africa because of racial persecution policy . I don't think there is no future for public transport.Especially in urban, for example, Taipei city in Taiwan.People who lives there almost know the convenient public transport called MRT, it's fast, cheaper and doesn't have to find the parking lot. I start this sport since I was 10 years old.where my father was playing this sport also,but he started it when he was more greater than me,He was about 30 years old.where squash is one of the games that can be played in any age,I love this game because I find it making exercise to all the body in the same time , we are running in small place moving hands in stretched and different ways in the same time you are working your mind in the same time so it need caring and quik thinkink, as much exercise you will find down the road . Moreover they can learn how hard working is. The other matter is about our habit to eating food together with our family that were a custom in humanity life not just in our culture,but now because of hard and busy life ,we had to eat our meal  mostly days of a week. Therefore I think that it is important for college student to have a part-time job."	1
8	Do you think that smartphones have destroyed communication among family and friends? Give specific reasons and details to support your opinion. 	"  The intriguing topic at hand is whether smartphones have destroyed communication among family and friends. Nowadays we use technology in every thing, from educations to making clothes, we use technology everyday and everywhere.Technology is always upgrading and it is very helpful,useful and  important for development but todays generation is influenced whit technology that they have stopped to do other activities. Some people claim that using smartphones disturb communication among family and friends. I suggested to other people  first to understand yourself such as  what do you like, which is possible and than practice after every success However, I claim that smartphones haven't destroyed communication among family and friends for the following three reasons. More environmentalist action we use is to protect the wildlife by takeng care of themthere is to that we have a center of care and, other more institutions, we also make environmental protection centers were people can visit and learn about this to sum up our village is very concentrated on taking care of the natural world that sorrounds us Firstly, staff and Personnel design the background colour , the artwork and the scuriity issues on the bank notes,which is also  done in process of other card,such as notes for supermarket.Then in the preparation process, skilled machinists prepare of metal plates for printing.After that sheets of bank notes are printed,there are differences and specials for it, it use special ink ,and print colors on both side,images are slightly rised. If you ask someone about the future, answers will be different but all will be around two main topics, Those last are either optimist future or pessimist one. In the end, large colleges admit largest number of students, so the student may do establishing friendships more from different nationalities, also it serves the community by graduating many students in various majors. After preparing of metal plates by skilled machinists,it takes sheets of bank .There are three requirements fot it:colour on both sides,special ink and images slighty raised. Second, smartphones increase the frequency of communicating with family and friends. Nowadays, the transportation become more prefect,and the people'life become more convenient.Althought this change lend the life of people efficient,the problem should not be ignored.It would really be helpful if the government make tighter resrictions,in today's world ,lots of constrication companies and factories are not admission, they are destroyed the forest,farmland and wetland,charging waster water and emitting greenhouse gas,it lead to a serious enviorment problem.So the government should oversee this companies ,and if companies do not obey the rules or laws ,it will be fined and closed. First of all, thank you professor to teach in the meantime, the entire course of the learn really benefited, especially in the first meeting, for British English, I still did not really understand, it makes me frustrated, but gradually after I found the beautiful of the language in British English, I think it’s all because of the usual problem of American English, and so I really appreciate that you choose simple  textbooks and it’s easy to learn, and you really very carefully and very humorous, you're always careful in curriculum pronunciation correction for each student, using a variety of reading skills let us immerse them read. But now we can easily communicate by using smartphones. In conclusin,the whole part of process is an unreversed schedule.It cosumemed the power which contained the humanity and machinic.Nevertheless,in my opinion the most precious of the revolution is the modern security measure through such a muti-developed society. So we can easily communicate through smartphones. Dear all I Am communicating to you, with the purpose of let yo know that we will set up a meeting at  my office with the purpose of discuss how we  could use social media to improve the Communication with our suplliers, i think a great time for the meeting could be next Monday at 4:00 p.m Kind regards Armando Martínez Finally, we can regulate using smartphones. The social networks such as: Facebook,Twitter,Instagram,Google plus... are connecting  us to more and more friends, companies, public figures, books, films, social organizations...we are really have many things to see, to think, to ""like"", to ""comment"" and a dozen of stuffs that we can make an action to interactive with others...so may it is true that we have less time to think about ourselves, to take care our healthy. Smartphones don't force us to stop communication. Communication in real world is only up to us. Using smartphones give us more topics to talk, smartphones haven't destroyed communication among family and friends. To summarize, smartphones are the things that make us more communicate with our family and friends. Smartphones give interesting topics to talk. Also smartphones make us communicate more with our family. Suddenly we heard the sound of running footsteps.Then there was a cry and the footsteps stopped.Nervously,we walked back.Perhaps someone had been killed,or kidnapped in the street We were going to see what happened ,and we had something to see.There was one old granny who was beat up.We try to gave her help but she was so heavy and we could not do that.Than we were trying to find help ,but nobody was opening doors.On our luck I had a mobile phone ,but Michael was saying that we need to escape because we did not know are those bullies near the corner.My plan was to phone my dad and an ambulance and I've done that. However the best option is that you came here and after I present my friends and their fathers because they can help with your job. This sport cause fresh and jolly me and I think will exercise cause healthy.if you start volleyball, you need a ball and piece of ground that separate with tie."	1
